athlete,HANDS,LOWER_ARMS,UPPER_ARMS,UPPER_TRUNK,MIDDLE_TRUNK,LOWER_TRUNK,PELVIS,HEAD,R_THIGH,R_SHANK,R_FOOT,L_THIGH,L_SHANK,L_FOOT,total_mass
18,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
19,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
20,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
21,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
22,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
23,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
24,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
25,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
26,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
27,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
28,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
29,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
30,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
31,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
32,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
33,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
34,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
35,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
36,0.5230400000000001,1.28892,2.3817,7.21515,6.84155,5.8234900000000005,0.0,3.1242300000000003,6.90226,2.24627,0.60243,6.90226,2.24627,0.60243,46.7
